Pha,Step_ID,Hạng_mục,Mục_tiêu,Đầu_vào,Đầu_ra,Phụ_thuộc,Ưu_tiên,Trạng_thái,Cách_kiểm_tra,Nhóm_có_thể_làm
P0,BP0,Khóa nguyên tắc và tracking,"Chốt rule kiến trúc, rule nhiều agent, bảng theo dõi và cách làm việc chung","CLAUDE.md, project board, Google Sheet","Toàn đội làm cùng một hướng, ít đụng nhau",,Cao,Đã xong,"CLAUDE.md có rule riêng cho dự án; Sheet có tab overview, task board, notes","A, E"
P0,BP0A,Sheet handoff và coordination,"Cho agent mới vào là hiểu ngay milestone, task active, risk và luồng làm việc chung","00_Overview, 01_Task_Board, 02_Agent_Notes, 04_Daily_Status, 05_Decisions, 06_Build_Plan, 07_Runtime_Flow, 08_Image_Index","Sheet chung đủ context để nhiều agent chia việc an toàn",BP0,Cao,Đang làm,"Agent mới chỉ cần mở sheet là biết đang ở milestone nào, việc nào active và chỗ nào không nên đụng",A
P1,BP1,Launcher vận hành tốt,"Người dùng chọn đúng giả lập, chạy bot, dừng bot, đọc log dễ hiểu","Launcher hiện tại, scan MEmu/ADB, log panel",Launcher ổn định cho 1 bot và người dùng non-tech dùng được,BP0,Cao,Đang làm,"Chạy launcher, chọn đúng title giả lập, start/stop không lỗi xấu, log đọc được",A
P1,BP1A,Cấu hình Free API Agent an toàn,"Cho phép dùng API agent mà không hardcode token và không phá local mode","agent_config.py, FreeAPIAgent, docs","Env-based secrets, validate config rõ, lazy init và fallback local",BP1,Vừa,Đang làm,"Không có token thì local mode vẫn chạy; bật API mode thiếu config thì báo lỗi rõ; test unit xanh",A
P1,BP2,Lưu cấu hình người dùng,Nhớ instance đã chọn và profile bot để lần sau mở lên dùng nhanh,"Binding stub, config path",Có file config lưu instance hoặc profile đã chọn,BP1,Vừa,Làm tiếp,Tắt mở launcher vẫn thấy cấu hình đã lưu,A
P2,BP3,Capture production backend,Lấy ảnh thật từ đúng cửa sổ giả lập bằng Windows-side capture,"HWND binding, capture scaffold","Live frame ổn định, không dùng adb screencap",BP1,Cao,Làm tiếp,Launcher hiện preview live; frame rate đổi theo state; không có ảnh trung gian trên đĩa,B
P2,BP3A,Shared screenshot intake,"Giữ ảnh user và metadata ở một hàng chờ chung để nhiều agent review label song song","data/submissions, import_user_screenshots.py, export_image_index_csv.py, 08_Image_Index","Batch raw có manifest rõ nguồn gốc và sheet index cập nhật",BP0A,Vừa,Đang làm,"Import batch tạo raw + manifest + README; export tạo 08_Image_Index cho sheet",C
P2,BP4,Identity recheck trên ảnh,Đảm bảo bot vẫn đang nhìn đúng giả lập sau khi capture chạy live,"Frame capture, window title, fingerprint vùng name/avatar/room",Cảnh báo hoặc pause khi identity sai,BP3,Cao,Làm tiếp,"Che, đổi hoặc lệch cửa sổ phải bị phát hiện; bot không tiếp tục trong trạng thái mơ hồ","B, E"
P3,BP5,Perception pipeline,"Nhận diện lá bài, nút bấm, text, lượt chơi từ frame","Capture live, ROI, inference scaffold",Kết quả detect hoặc OCR có bot_id và frame_id rõ ràng,BP3,Cao,Làm tiếp,Một frame mẫu trả ra object detect hoặc OCR đúng contract,C
P3,BP6,State extraction,Chuyển kết quả nhận diện thành trạng thái game mà bot hiểu được,Output từ perception,"Game state chuẩn hóa: bài trên tay, bài trên bàn, lượt, nút khả dụng",BP5,Cao,Làm tiếp,Nhiều snapshot mẫu parse ra state đúng như màn hình thật,C
P3,BP7,Snapshot validator và consensus,Không cho bot quyết định từ frame lỗi hoặc state vô lý,"Game state, frame history",State chỉ được tin khi ổn định qua 2-3 frame và pass validator,BP6,Cao,Đang làm,"Frame lỗi bị loại; duplicate card, anchor sai, state nhảy vô lý đều bị chặn","C, E"
P4,BP8,Action execution thật,"Bot biết bấm lá bài, nút đánh, nút bỏ lượt đúng vị trí","ADB broker, layout mapping, validated state","Tap hoặc swipe đúng, có retry hợp lý, không burst ADB",BP6,Cao,Làm tiếp,Gửi lệnh qua ADB broker và thấy thao tác đúng trên giả lập,D
P4,BP9,Xác nhận sau thao tác,Sau mỗi action phải nhìn lại ảnh để biết thao tác có thành công hay chưa,"Action result, new frame",Không bấm lặp mù; biết pass hoặc fail từng action,BP8,Cao,Làm tiếp,"Sau tap, ảnh mới phản ánh thay đổi mong đợi hoặc báo fail rõ ràng","D, B"
P5,BP10,Decision engine Tiến Lên,Bot chọn nước đi hợp lệ và hợp lý theo luật hoặc chiến lược,Validated game state,Danh sách action hợp lệ và action được chọn,BP7,Cao,Làm tiếp,"Nhiều state mẫu cho ra quyết định hợp lệ, không crash, không đánh sai luật","C, D"
P5,BP11,Single-bot end-to-end,"Một bot hoàn chỉnh nhìn màn hình, hiểu game, quyết định và bấm thật",BP3 đến BP10,Bot chơi được một phiên hoàn chỉnh ở mức demo,"BP9, BP10",Cao,Làm tiếp,Chạy một session thật có log đầy đủ và không cần thao tác tay giữa chừng,"A, B, C, D"
P6,BP12,Multi-bot supervision,Supervisor khởi chạy nhiều worker thật mà không lẫn identity,Single-bot flow ổn định,"Nhiều bot chạy riêng process, restart hoặc pause tách biệt",BP11,Cao,Làm tiếp,"2-3 bot chạy đồng thời, bot lỗi không kéo bot khác chết theo",E
P6,BP13,Resource control và recovery,"Giữ hệ thống không sập khi CPU, RAM, GPU hoặc ADB bị quá tải","Supervisor, monitor, broker, watchdog","Admission control, circuit breaker, restart policy rõ ràng",BP12,Vừa,Làm tiếp,Khi quá tải thì bot ưu tiên thấp giảm nhịp hoặc pause thay vì toàn cụm crash,E
P7,BP14,Hardening và release nội bộ,"Củng cố test, docs, preset và cách vận hành thực tế",Tất cả phần trước,Bản dùng nội bộ ổn định hơn cho nhiều agent và người vận hành,"BP12, BP13",Vừa,Làm tiếp,"Có test cốt lõi, docs cập nhật, tracker cập nhật, launcher đủ rõ để bàn giao nội bộ","A, E"
